plot,plot_surf,crop_2018,crop_2019,crop_2020,rotation,frac_mean,apar_year,rapar
6817573,3.74,BTH,MIS,BTH,BTH_MIS_BTH,0.262228352540815,650.2853452008233,0.3267583602757103
6817576,1.81,BTH,TRN,BTH,BTH_TRN_BTH,0.2541380039006163,663.7591434999042,0.33402798360651015
6817580,0.95,PTR,PTR,PTR,PTR_PTR_PTR,0.6779062873107684,1372.2897435200678,0.6699238643607931
6817594,3.43,BTH,MIS,BTH,BTH_MIS_BTH,0.4209160711124819,933.7432496705978,0.4693934504884229
6817595,3.85,MIS,BTH,MIS,MIS_BTH_MIS,0.21538219230198635,608.0913171398032,0.3038324486534193
6817599,2.12,BTH,MIS,BTH,BTH_MIS_BTH,0.30190196759449284,785.191143117841,0.3972558274566741
6817601,1.78,BTH,MIS,BTH,BTH_MIS_BTH,0.3085915148214145,802.2353903360591,0.40587911185232245
6817602,1.67,ORH,TRN,BTH,ORH_TRN_BTH,0.33022835493037167,775.6084996639803,0.39240763095337455
6817606,3.8,MIS,BTH,TRN,MIS_BTH_TRN,0.24372240943278564,565.6253528670866,0.28616976841009173
6817608,2.27,MIS,MIS,BTH,MIS_MIS_BTH,0.2484605585027437,697.6704892746286,0.3529760491290975
6817609,3.49,MIS,BTH,MIS,MIS_BTH_MIS,0.1939162530584271,530.1435554035326,0.2682182785918745
6817610,1.16,BTH,MIS,BTH,BTH_MIS_BTH,0.30967484374868026,812.4848599812237,0.4110646791891039
6817620,5.08,PTR,PTR,PTR,PTR_PTR_PTR,0.683893966616,1439.490092348254,0.7296043904981642
6817623,3.66,PTR,BTH,TTH,PTR_BTH_TTH,0.311430568235821,771.5861522015108,0.391077817962232
6817628,2.42,PTR,PTR,PTR,PTR_PTR_PTR,0.639042894297759,1368.7781365552244,0.6937640928250176
6817634,2.08,PTR,PTR,PTR,PTR_PTR_PTR,0.5475768846849354,1178.8559031660707,0.5975021622493817
6817637,0.94,PTR,PTR,PTR,PTR_PTR_PTR,0.4553239115150811,976.4169909575656,0.4948961631250301
6817639,0.73,ORH,TTH,ORH,ORH_TTH_ORH,0.40881320199378357,939.7604542903642,0.47631682712611534
6817653,0.91,MIS,MIS,BTH,MIS_MIS_BTH,0.23136061753333068,652.0227616300339,0.3305994066306346
6817658,2.89,TTH,TTH,PTR,TTH_TTH_PTR,0.6331110517353568,1232.8509364197732,0.6179289333880819
6817670,2.3,BTH,LEC,BTH,BTH_LEC_BTH,0.2630392350342334,668.3035649790521,0.33493946269820324
6817686,1.64,LEC,BTH,TRN,LEC_BTH_TRN,0.191164716442319,546.4857162478482,0.27428383170053433
6817699,4.7,MIS,BTH,MIS,MIS_BTH_MIS,0.20431629185280747,575.9836155103586,0.2927348058285784
6817701,2.45,MIS,BTH,MIS,MIS_BTH_MIS,0.26820107671888405,712.600374694558,0.35912328590857967
6817709,5.31,BTH,MIS,BTH,BTH_MIS_BTH,0.30804511507629184,794.5286833321678,0.40041201441855556
6817711,1.91,MIS,BTH,MIS,MIS_BTH_MIS,0.23072960704762163,540.0704857446399,0.27217483227677425
6817713,6.85,MIS,MIS,MIS,MIS_MIS_MIS,0.1577046344982855,419.26978641567956,0.2112959082351393
6817741,4.38,BTH,MIS,BTH,BTH_MIS_BTH,0.29484282324766475,804.8853585320579,0.40844075070894104
6817745,1.76,BTH,BTH,LUZ,BTH_BTH_LUZ,0.38407251149770993,872.3636032101294,0.44519959436101053
6817750,1.08,BTH,BTH,LUZ,BTH_BTH_LUZ,0.38091984179036437,859.3189264295427,0.4385424106019481
6817759,2.23,MIS,BTH,MIS,MIS_BTH_MIS,0.19764165307640885,571.6480568647597,0.2897895013159852
6817763,1.56,BTH,BTH,BTH,BTH_BTH_BTH,0.33654898258139243,785.1810971732442,0.3980372816108482
6817764,1.38,PTR,PTR,PTR,PTR_PTR_PTR,0.5427711326295227,978.9768791630773,0.4962795171009646
6817765,1.26,LU6,LUZ,BTH,LU6_LUZ_BTH,0.48590885885059754,1046.3243126261564,0.5304204171246909
6817770,1.93,BTH,MIS,BTH,BTH_MIS_BTH,0.28625676875444805,760.7691843618334,0.3856619818878201
6817775,1.33,BTH,BTH,LUZ,BTH_BTH_LUZ,0.36477410275692707,854.6756351415328,0.43617276635003843
6817776,1.52,BTH,MIS,BTH,BTH_MIS_BTH,0.27686843795187743,733.0123524995693,0.3715910192266453
6817805,2.09,LU7,LUZ,LUZ,LU7_LUZ_LUZ,0.6387060584634985,1185.8237324937513,0.5964530291027785
